,Tweets,Date,len,Likes,RTweets
866,....for the Middle Class. The House and Senate should consider ASAP as the process of final approval moves along. Push Biggest Tax Cuts EVER,Wed Nov 01 15:03:29 +0000 2017,140,55258,11440
867,Wouldn't it be great to Repeal the very unfair and unpopular Individual Mandate in ObamaCare and use those savings for further Tax Cuts.....,Wed Nov 01 14:59:43 +0000 2017,140,81574,17145
868,#NYCStrong #USA🇺🇸 https://t.co/6K3Xw5P87d,Wed Nov 01 13:30:32 +0000 2017,41,39460,8638
869,"""Senator Chuck Schumer helping to import Europes problems"" said Col.Tony Shaffer. We will stop this craziness!  @foxandfriends",Wed Nov 01 11:40:14 +0000 2017,126,75894,20756
870,"We are fighting hard for Merit Based immigration, no more Democrat Lottery Systems. We must get MUCH tougher (and smarter).  @foxandfriends",Wed Nov 01 11:30:48 +0000 2017,139,100695,25610
871,"The terrorist came into our country through what is called the ""Diversity Visa Lottery Program,"" a Chuck Schumer beauty. I want merit based.",Wed Nov 01 11:24:32 +0000 2017,140,129119,36353
872,"I have just ordered Homeland Security to step up our already Extreme Vetting Program. Being politically correct is fine, but not for this!",Wed Nov 01 01:26:22 +0000 2017,138,146522,36402
873,The Republican House members are working hard (and late) toward the Massive Tax Cuts that they know you deserve. These will be biggest ever!,Wed Nov 01 01:22:20 +0000 2017,140,68702,13353
874,"My thoughts, condolences and prayers to the victims and families of the New York City terrorist attack. God and your country are with you!",Tue Oct 31 22:57:40 +0000 2017,138,112320,25492
875,"We must not allow ISIS to return, or enter, our country after defeating them in the Middle East and elsewhere. Enough!",Tue Oct 31 22:31:45 +0000 2017,118,140788,35257
876,"In NYC, looks like another attack by a very sick and deranged person. Law enforcement is following this closely. NOT IN THE U.S.A.!",Tue Oct 31 21:30:04 +0000 2017,131,108693,24838
877,"U.S. COAL PRODUCTION
Up📈7.8% past year. 
Down📉31.5% last 10 years. 
#EndingWarOnCoal https://t.co/xr20OBb2DV",Tue Oct 31 19:41:25 +0000 2017,108,43669,10722
878,“Home Prices Reach New All-Time Highs in August” Read more: https://t.co/XzJiZgGQ8R https://t.co/STBtR6mO2j,Tue Oct 31 19:14:31 +0000 2017,107,29085,6364
879,"""Consumer Confidence Hits Highest Level Since December 2000"" Read more: https://t.co/w7WkcobFun https://t.co/nLo5XCnuIx",Tue Oct 31 18:11:11 +0000 2017,119,40637,10200
880,RT @IvankaTrump: We're working to make tax cuts &amp; the expanded Child Tax Credit a reality for American families. The time is now! #TaxRefor…,Tue Oct 31 16:55:14 +0000 2017,144,0,9504
881,"Wishing everyone a safe and Happy Halloween!
#Halloween2017 https://t.co/BRpgXVRI8Y",Tue Oct 31 16:08:36 +0000 2017,83,61872,13616
882,Thank you @LuisRiveraMarin! https://t.co/BK7sDv9phU,Tue Oct 31 15:48:22 +0000 2017,51,27922,5837
883,“Statement by President Trump on the Apprehension of Mustafa al-Imam for His Alleged Role in Benghazi Attacks” https://t.co/2U7WJmfGlM,Tue Oct 31 14:46:24 +0000 2017,134,36759,9715
884,"....earth shattering. He and his brother could Drain The Swamp, which would be yet another campaign promise fulfilled. Fake News weak!",Tue Oct 31 14:10:42 +0000 2017,134,52761,12268
885,"The biggest story yesterday, the one that has the Dems in a dither, is Podesta running from his firm. What he know about Crooked Dems is....",Tue Oct 31 14:06:27 +0000 2017,140,66691,16824
886,I hope people will start to focus on our Massive Tax Cuts for Business (jobs) and the Middle Class (in addition to Democrat corruption)!,Tue Oct 31 12:21:06 +0000 2017,136,75466,16832
887,"....came to the campaign. Few people knew the young, low level volunteer named George, who has already proven to be a liar. Check the DEMS!",Tue Oct 31 12:16:08 +0000 2017,139,55871,12502
888,"The Fake News is working overtime. As Paul Manaforts lawyer said, there was ""no collusion"" and events mentioned took place long before he...",Tue Oct 31 12:09:41 +0000 2017,140,58808,14098
889,"....Also, there is NO COLLUSION!",Mon Oct 30 14:28:10 +0000 2017,32,91695,22499
890,"Sorry, but this is years ago, before Paul Manafort was part of the Trump campaign. But why aren't Crooked Hillary &amp; the Dems the focus?????",Mon Oct 30 14:25:09 +0000 2017,143,120704,34605
891,Great job by MichaelCaputo on @foxandfriends.,Mon Oct 30 11:50:26 +0000 2017,45,43409,7548
892,"Report out that Obama Campaign paid $972,000 to Fusion GPS. The firm also got $12,400,000 (really?) from DNC. Nobody knows who OK'd!",Mon Oct 30 11:37:36 +0000 2017,132,110032,36258
893,"All of this ""Russia"" talk right when the Republicans are making their big push for historic Tax Cuts &amp; Reform. Is this coincidental? NOT!",Sun Oct 29 14:48:09 +0000 2017,141,92725,23480
894,"...are now fighting back like never before. There is so much GUILT by Democrats/Clinton, and now the facts are pouring out. DO SOMETHING!",Sun Oct 29 14:17:14 +0000 2017,137,101018,25048
895,"...""collusion,"" which doesn't exist. The Dems are using this terrible (and bad for our country) Witch Hunt for evil politics, but the R's...",Sun Oct 29 14:09:51 +0000 2017,140,74547,17795
896,"...the Uranium to Russia deal, the  33,000 plus deleted Emails, the Comey fix and so much more. Instead they look at phony Trump/Russia,....",Sun Oct 29 14:02:37 +0000 2017,140,88261,23707
897,"Never seen such Republican ANGER &amp; UNITY as I have concerning the lack of investigation on Clinton made Fake Dossier (now $12,000,000?),....",Sun Oct 29 13:53:43 +0000 2017,144,112659,30104
898,"As usual, the ObamaCare premiums will be up (the Dems own it), but we will Repeal &amp; Replace and have great Healthcare soon after Tax Cuts!",Sun Oct 29 13:12:47 +0000 2017,142,67869,14190
899,"JFK Files are released, long ahead of schedule!",Sat Oct 28 23:15:39 +0000 2017,47,93093,19454
900,While not at all presidential I must point out that the Sloppy Michael Moore Show on Broadway was a TOTAL BOMB and was forced to close. Sad!,Sat Oct 28 22:19:42 +0000 2017,140,114826,25104
901,"Happy #FirstRespondersDay to all of our HEROES out there. We are forever grateful to you for your service, sacrific… https://t.co/UpEh9uZ9fu",Sat Oct 28 22:08:30 +0000 2017,140,63534,14759
902,...in order to put any and all conspiracy theories to rest.,Sat Oct 28 21:10:36 +0000 2017,59,54172,10516
903,"...addresses of any mentioned person who is still living. I am doing this for reasons of full disclosure, transparency and...",Sat Oct 28 21:09:57 +0000 2017,125,51303,10342
904,"After strict consultation with General Kelly, the CIA and other Agencies, I will be releasing ALL #JFKFiles other than the names and...",Sat Oct 28 21:09:00 +0000 2017,135,71946,16816
905,Today is National Prescription Drug Take Back Day. Everyone can help fight the #OpioidEpidemic by participating!… https://t.co/xOrimTGON5,Sat Oct 28 14:37:38 +0000 2017,137,41496,8968
906,Just read the nice remarks by President Jimmy Carter about me and how badly I am treated by the press (Fake News). Thank you Mr. President!,Sat Oct 28 12:28:28 +0000 2017,139,131860,23700
907,Very little reporting about the GREAT GDP numbers announced yesterday (3.0 despite the big hurricane hits). Best consecutive Q's in years!,Sat Oct 28 12:22:12 +0000 2017,138,89032,20735
908,"“WHAT HAPPENED”

“How Team Hillary played the press for fools on Russia”
➡️https://t.co/GqpIidk017

NOW WE KNOW! https://t.co/SgWL1HZmkI",Sat Oct 28 02:13:28 +0000 2017,136,68992,25601
909,#JFKFiles https://t.co/AnPBSJFh3J,Sat Oct 28 00:05:45 +0000 2017,33,65953,17495
910,"Happy Birthday @TheLeeGreenwood!
#FlashbackFriday https://t.co/MCrMK6Eurm",Fri Oct 27 23:33:14 +0000 2017,73,42178,10053
911,"People are anxiously awaiting my decision as to who the next head of the Fed will be....
🎥https://t.co/PEj1KNYcAO",Fri Oct 27 21:17:31 +0000 2017,113,44871,8722
912,.@FoxNews Chris Wallace: “More evidence of Dem collusion with Russia than GOP” https://t.co/nACQerJSiu,Fri Oct 27 20:33:50 +0000 2017,102,45518,13218
913,We are inspired by the stories of everyday heroes who pull their communities from the depths of despair through lea… https://t.co/QsxRShJWmQ,Fri Oct 27 18:16:35 +0000 2017,140,48202,10062
914,"Diane Black of Tennessee, the highly respected House Budget Committee Chairwoman, did a GREAT job in passing Budget, setting up big Tax Cuts",Fri Oct 27 14:52:42 +0000 2017,140,61572,11828
915,Thank you @FLGovScott. https://t.co/rgdU9plvFK,Fri Oct 27 14:33:15 +0000 2017,46,39499,8072
916,"It is now commonly agreed, after many months of COSTLY looking, that there was NO collusion between Russia and Trump. Was collusion with HC!",Fri Oct 27 13:33:40 +0000 2017,140,101154,27542
917,Happy birthday to the great @TheLeeGreenwood. You and your beautiful song have made such a difference. MAKE AMERICA GREAT AGAIN!,Fri Oct 27 12:50:47 +0000 2017,128,49632,9889
918,JFK Files are being carefully released. In the end there will be great transparency. It is my hope to get just about everything to public!,Fri Oct 27 11:38:43 +0000 2017,138,95441,19395
919,Good luck to @Joy_Villa on her decision to enter the wonderful world of politics. She has many fans!,Fri Oct 27 11:16:40 +0000 2017,100,50813,10277
920,"Congratulations to @SpeakerRyan, @GOPLeader, @SteveScalise and to the Republican Party on Budget passage yesterday. Now for biggest Tax Cuts",Fri Oct 27 11:09:03 +0000 2017,140,45942,8749
921,Thank you @foxandfriends. Really great job and show!,Fri Oct 27 10:59:56 +0000 2017,52,44422,6998
922,"Wacky &amp; totally unhinged Tom Steyer, who has been fighting me and my Make America Great Again agenda from beginning, never wins elections!",Fri Oct 27 10:58:36 +0000 2017,142,54454,11472
923,"WORKING TOGETHER, we will defeat this #OpioidEpidemic &amp; free our nation from the terrible affliction of drug abuse.… https://t.co/Mw8xZxOEUn",Fri Oct 27 01:18:55 +0000 2017,144,45879,9951
924,"Effective today, my administration officially declared the #OpioidCrisis a NATIONAL PUBLIC HEALTH EMERGENCY under f… https://t.co/0DF0lnfKJG",Thu Oct 26 21:29:52 +0000 2017,140,56487,13033
925,Big news - Budget just passed!,Thu Oct 26 15:05:36 +0000 2017,30,134433,24921
926,Do not underestimate the UNITY within the Republican Party!,Thu Oct 26 14:30:45 +0000 2017,59,68842,13082
927,"Ed Gillespie will be a great Governor of Virginia. His opponent doesn't even show up to meetings/work, and will be VERY weak on crime!",Thu Oct 26 14:11:21 +0000 2017,134,53291,11834
928,"Ed Gillespie will turn the really bad Virginia economy #'s around, and fast. Strong on crime, he might even save our great statues/heritage!",Thu Oct 26 14:07:08 +0000 2017,140,61570,13293
929,RT @seanhannity: BOOM!!  Tick Tock https://t.co/8E2Lvj3TTa,Thu Oct 26 13:47:29 +0000 2017,58,0,12994
930,Will be another Sean success! https://t.co/SlNTENvJLA,Thu Oct 26 13:45:45 +0000 2017,53,40088,9194
931,RT @PChowka: Fox News With Hannity's Help Regains Its Ratings Dominance By Peter Barry Chowka at The Hagmann report https://t.co/ICDMCZregu…,Thu Oct 26 13:44:05 +0000 2017,140,0,5701
932,"Together, we will Make America Great Again!
#AmericaFirst🇺🇸 https://t.co/ajiC3flNkI",Thu Oct 26 03:33:41 +0000 2017,83,52948,12911
933,"This will be the biggest TAX CUT in the history of our country - and we need it! #TaxReform 
Read more:… https://t.co/1qDeHBLabT",Thu Oct 26 01:47:50 +0000 2017,128,50949,11738
934,RT @IvankaTrump: Working families need #TaxReform &amp; the time is now. This Administration is committed to ensuring all Americans can thrive…,Thu Oct 26 01:26:05 +0000 2017,143,0,9039
935,Interview with @LouDobbs coming up at 7pmE on @FoxBusiness. Enjoy! https://t.co/9V9z015kVl,Wed Oct 25 22:46:57 +0000 2017,90,31493,5829
936,"Texas @GovAbbott &amp; Lt. Gov. @DanPatrick,

Thank you for todays briefing on hurricane recovery efforts here in TX. K… https://t.co/5lGb2FKLJ2",Wed Oct 25 22:17:36 +0000 2017,144,34888,7063
937,The long anticipated release of the #JFKFiles will take place tomorrow. So interesting!,Wed Oct 25 19:56:39 +0000 2017,87,123012,33386
938,Melania and I look forward to being with President Xi &amp; Madame Peng Liyuan in China in two weeks for what will hope… https://t.co/TYNkL929s6,Wed Oct 25 19:39:22 +0000 2017,144,46078,8863
939,"Spoke to President Xi of China to congratulate him on his extraordinary elevation. Also discussed NoKo &amp; trade, two very important subjects!",Wed Oct 25 19:24:10 +0000 2017,144,55232,9680
940,Just interviewed by @LouDobbs. Will be aired tonight at 7pmE on @FoxBusiness. #Dobbs,Wed Oct 25 17:46:10 +0000 2017,84,36924,7640
941,"Congrats to @Reince Priebus, a really good and talented man. We’re proud of you Reince! https://t.co/7AsjAMrSnV",Wed Oct 25 17:19:31 +0000 2017,111,32913,5920
942,MAKE AMERICA GREAT AGAIN! https://t.co/CbEwJSQ1A3,Wed Oct 25 15:40:03 +0000 2017,49,50546,13557
943,"Jeff Flake, with an 18% approval rating in Arizona, said ""a lot of my colleagues have spoken out."" Really, they just gave me a standing O!",Wed Oct 25 12:33:30 +0000 2017,138,72759,15226
944,"Working hard on the biggest tax cut in U.S. history. Great support from so many sides. Big winners will be the middle class, business &amp; JOBS",Wed Oct 25 11:35:16 +0000 2017,144,94290,18549
945,"The meeting with Republican Senators yesterday, outside of Flake and Corker, was a love fest with standing ovations and great ideas for USA!",Wed Oct 25 11:30:36 +0000 2017,140,59684,11926
946,"The reason Flake and Corker dropped out of the Senate race is very simple, they had zero chance of being elected. Now act so hurt &amp; wounded!",Wed Oct 25 11:27:36 +0000 2017,144,67342,15174
947,"""Clinton campaign &amp; DNC paid for research that led to the anti-Trump Fake News Dossier. The victim here is the President."" @FoxNews",Wed Oct 25 11:21:30 +0000 2017,135,78558,22566
948,So nice being with Republican Senators today. Multiple standing ovations! Most are great people who want big Tax Cuts and success for U.S.,Tue Oct 24 22:20:42 +0000 2017,138,87904,16657
949,"“President Donald J. Trump Proclaims October 24, 2017, as United Nations Day” Read more: https://t.co/cyRAQAKhy2 https://t.co/HVD0kLYlBk",Tue Oct 24 19:11:38 +0000 2017,136,31501,6550
950,Stock Market just hit another record high! Jobs looking very good.,Tue Oct 24 14:35:32 +0000 2017,66,98229,18853
951,...the entire World WAS laughing and taking advantage of us. People like liddle' Bob Corker have set the U.S. way back. Now we move forward!,Tue Oct 24 14:20:46 +0000 2017,140,67221,15023
952,"Sen. Corker is the incompetent head of the Foreign Relations Committee, &amp; look how poorly the U.S. has done. He doesn't have a clue as.....",Tue Oct 24 14:13:48 +0000 2017,143,63147,14002
953,"Isn't it sad that lightweight Senator Bob Corker, who couldn't get re-elected in the Great State of Tennessee, will now fight Tax Cuts plus!",Tue Oct 24 13:30:21 +0000 2017,140,58951,13880
954,"...Corker dropped out of the race in Tennesse when I refused to endorse him, and now is only negative on anything Trump. Look at his record!",Tue Oct 24 12:20:35 +0000 2017,140,60030,13304
955,"Bob Corker, who helped President O give us the bad Iran Deal &amp; couldn't get elected dog catcher in Tennessee, is now fighting Tax Cuts....",Tue Oct 24 12:13:59 +0000 2017,142,82057,20253
956,We will never forget the 241 American service members killed by Hizballah in Beirut. They died in service to our na… https://t.co/xd2GAvU0YP,Mon Oct 23 23:18:01 +0000 2017,140,71949,17102
957,"I had a very respectful conversation with the widow of Sgt. La David Johnson, and spoke his name from beginning, without hesitation!",Mon Oct 23 12:30:10 +0000 2017,132,88351,16802
958,"Two dozen NFL players continue to kneel during the National Anthem, showing total disrespect to our Flag &amp; Country.  No leadership in NFL!",Mon Oct 23 11:53:08 +0000 2017,142,116320,24546
959,"There will be NO change to your 401(k). This has always been a great and popular middle class tax break that works, and it stays!",Mon Oct 23 11:42:56 +0000 2017,129,115971,24538
960,"It is finally sinking through. 46% OF PEOPLE BELIEVE MAJOR NATIONAL NEWS ORGS FABRICATE STORIES ABOUT ME. FAKE NEWS, even worse! Lost cred.",Sun Oct 22 12:08:47 +0000 2017,139,123569,27148
961,"Wacky Congresswoman Wilson is the gift that keeps on giving for the Republican Party, a disaster for Dems. You watch her in action &amp; vote R!",Sun Oct 22 12:02:31 +0000 2017,144,108162,23265
962,Doing interview today with Maria Bartiromo at 10:00 A.M. on @FoxNews - ENJOY!,Sun Oct 22 11:50:39 +0000 2017,77,47456,7729
963,"...2nd Amendment, Strong Military, ISIS, historic VA improvement, Supreme Court Justice, Record Stock Market, lowest unemployment in 17 yrs!",Sun Oct 22 00:09:21 +0000 2017,140,77842,16992
964,"...9 months than this Administration. Over 50 Legislation approvals, massive regulation cuts, energy freedom, pipelines, border security....",Sun Oct 22 00:02:45 +0000 2017,140,77234,15786
965,"I agree getting Tax Cuts approved  is important (we will also get HealthCare), but perhaps no Administration has done more in its first.....",Sat Oct 21 23:57:41 +0000 2017,140,71117,13390
966,"Just out, but lightly reported: ""Fewest jobless claims since 1973 show firm U.S. Job Market"" Lowest since March 1973. @bpolitics",Sat Oct 21 22:51:57 +0000 2017,128,66400,16881
967,"Crooked Hillary Clinton spent hundreds of millions of dollars more on Presidential Election than I did. Facebook was on her side, not mine!",Sat Oct 21 21:21:08 +0000 2017,139,99902,22166
968,"Keep hearing about ""tiny"" amount of money spent on Facebook ads. What about the billions of dollars of Fake News on CNN, ABC, NBC &amp; CBS?",Sat Oct 21 20:06:00 +0000 2017,140,98772,23572
969,"Officials behind the now discredited ""Dossier"" plead the Fifth. Justice Department and/or FBI should immediately release who paid for it.",Sat Oct 21 19:59:23 +0000 2017,137,82980,24719
970,“Trump hails liberation of Raqqa as critical breakthrough in anti-ISIS campaign” https://t.co/2eoYXJB7h0,Sat Oct 21 16:50:33 +0000 2017,104,47554,10927
971,Stock Market hits another all time high on Friday. 5.3 trillion dollars up since Election. Fake News doesn't spent much time on this!,Sat Oct 21 13:14:33 +0000 2017,133,94198,20732
972,People get what is going on! https://t.co/Pdg7VqQv6M,Sat Oct 21 13:08:17 +0000 2017,52,53975,15479
973,RT @IamVicky4Trump: TUNE IN: Maria Bartiromo Has an Exclusive Interview With President Trump https://t.co/H5VuJwy78o,Sat Oct 21 13:02:14 +0000 2017,116,0,5493
974,"Subject to the receipt of further information, I will be allowing, as President, the long blocked and classified JFK FILES to be opened.",Sat Oct 21 12:35:05 +0000 2017,136,207997,67881
975,"I hope the Fake News Media keeps talking about Wacky Congresswoman Wilson in that she, as a representative, is killing the Democrat Party!",Sat Oct 21 12:07:16 +0000 2017,138,90735,19665
976,"Budget that just passed is a really big deal, especially in terms of what will be the biggest tax cut in U.S. history - MSM barely covered!",Sat Oct 21 11:52:56 +0000 2017,139,69766,15218
977,"Great book just out, ""A Place Called Heaven,"" by Dr. Robert Jeffress - A wonderful man!",Fri Oct 20 23:52:17 +0000 2017,87,72795,13951
978,This is a once-in-a-generation opportunity to offer historic tax relief to the American people! Join me today:… https://t.co/faXIjyR08M,Fri Oct 20 21:10:37 +0000 2017,135,63675,15635
979,"Today, it was an honor to have @UN
Secretary-General @AntonioGuterres at the @WhiteHouse. Speaking for the U.S.A.,… https://t.co/oKRVJ29m2v",Fri Oct 20 18:50:21 +0000 2017,139,36404,7001
980,Thank you @GeraldoRivera @FoxandFriends. Agree! https://t.co/8cZLdAbgzw,Fri Oct 20 18:31:19 +0000 2017,71,48610,12872
981,"Just out report: ""United Kingdom crime rises 13% annually amid spread of Radical Islamic terror."" Not good, we must keep America safe!",Fri Oct 20 10:31:50 +0000 2017,134,106306,28789
982,"....This now allows for the passage of large scale Tax Cuts (and Reform), which will be the biggest in the history of our country!",Fri Oct 20 10:15:45 +0000 2017,130,74161,14899
983,"The Budget passed late last night, 51 to 49. We got ZERO Democrat votes with only Rand Paul (he will vote for Tax Cuts) voting against.....",Fri Oct 20 10:11:15 +0000 2017,139,70779,15598
984,Great news on the 2018 budget @SenateMajLdr McConnell - first step toward delivering MASSIVE tax cuts for the Ameri… https://t.co/pxcNfDTNAd,Fri Oct 20 05:12:44 +0000 2017,140,54000,12680
985,Big ratings getter @seanhannity and Apprentice Champion John Rich are right now going on stage in Las Vegas for #VegasStrong. Great Show!,Fri Oct 20 03:00:42 +0000 2017,137,51250,9627
986,"The Fake News is going crazy with wacky Congresswoman Wilson(D), who was SECRETLY on a very personal call, and gave a total lie on content!",Fri Oct 20 02:53:42 +0000 2017,139,89428,20445
987,"Keep up the GREAT work. I am with you 100%!

""ISIS is losing its grip...""
Army Colonel Ryan Dillon
CJTF–OIR… https://t.co/EXqgvquLiK",Fri Oct 20 01:43:00 +0000 2017,132,54343,12581
988,It was great to have Governor @RicardoRossello of #PuertoRico🇵🇷with us at the @WhiteHouse today. We are with you!… https://t.co/Q2NhV2MAXD,Thu Oct 19 20:40:21 +0000 2017,138,49294,10741
989,RT @USArmy333: @804StreetMedia @realDonaldTrump He’s done more in 9 months then obama did in8 yrs,Thu Oct 19 12:25:19 +0000 2017,97,0,8542
990,".@foxandfriends ""Russia sent millions to Clinton Foundation""",Thu Oct 19 12:21:18 +0000 2017,60,71295,23218
991,"Workers of firm involved with the discredited and Fake Dossier take the 5th. Who paid for it, Russia, the FBI or the Dems (or all)?",Thu Oct 19 11:56:15 +0000 2017,131,87145,26348
992,"Uranium deal to Russia, with Clinton help and Obama Administration knowledge, is the biggest story that Fake Media doesn't want to follow!",Thu Oct 19 11:17:52 +0000 2017,138,118118,40313
993,"Republicans are going for the big Budget approval today, first step toward massive tax cuts. I think we have the votes, but who knows?",Thu Oct 19 10:54:09 +0000 2017,134,71134,13136
994,"""46% of Americans think the Media is inventing stories about Trump &amp; his Administration."" @FoxNews   It is actually much worse than this!",Thu Oct 19 03:03:29 +0000 2017,141,82260,18740
995,".@DanaPerino &amp; @BradThor,
Thank you so much for the wonderful compliment. Working hard! #MAGA https://t.co/AKWlsMsCVH",Wed Oct 18 23:31:54 +0000 2017,121,43823,10296
996,"""20,000📈21,000📈22,000📈 23,000📈this year...FOUR one thousand milestones this year..."" 
#Dow23K #MAGA https://t.co/GQ5f2eVvEI",Wed Oct 18 22:49:42 +0000 2017,123,56871,14041
997,This is what REAL PRIDE in our COUNTRY is all about! #USA🇺🇸 https://t.co/kyv866prdE,Wed Oct 18 22:19:12 +0000 2017,83,69215,17806
998,".@NFL: Too much talk, not enough action. Stand for the National Anthem.",Wed Oct 18 20:42:05 +0000 2017,71,96786,22356
999,"""Iran hides behind its assertion of technical compliance w/the nuclear deal, while it brazenly violates the other l… https://t.co/aLcteyahlQ",Wed Oct 18 19:27:26 +0000 2017,140,41581,11586
1000,It was an honor to welcome Republican and Democratic members of the Senate Finance Committee to the @WhiteHouse tod… https://t.co/ujb8SEVGy8,Wed Oct 18 18:20:39 +0000 2017,140,36154,7313
1001,Our hearts are with all affected by the wildfires in California. God bless our brave First Responders and @FEMA tea… https://t.co/rnNu7kcffK,Wed Oct 18 16:58:23 +0000 2017,140,43442,8778
1002,The current tax code is a burden on American taxpayers &amp; harmful to job-creators. Americans need #TaxReform! More:… https://t.co/Q4Lqttenhi,Wed Oct 18 15:07:07 +0000 2017,143,42930,10316
1003,"I am supportive of Lamar as a person &amp; also of the process, but I can never support bailing out ins co's who have made a fortune w/ O'Care.",Wed Oct 18 13:41:10 +0000 2017,143,59821,12697
1004,Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof). Sad!,Wed Oct 18 11:25:24 +0000 2017,122,97343,24577
1005,The NFL has decided that it will not force players to stand for the playing of our National Anthem. Total disrespect for our great country!,Wed Oct 18 11:06:06 +0000 2017,139,99572,23737
1006,"As it has turned out, James Comey lied and leaked and totally protected Hillary Clinton. He was the best thing that ever happened to her!",Wed Oct 18 10:56:36 +0000 2017,137,92633,24675
1007,"The Democrats will only vote for Tax Increases. Hopefully, all Senate Republicans will vote for the largest Tax Cuts in U.S. history.",Wed Oct 18 10:38:18 +0000 2017,133,59516,13688
1008,"...people not interviewed, including Clinton herself. Comey stated under oath that he didn't do this-obviously a fix? Where is Justice Dept?",Wed Oct 18 10:27:29 +0000 2017,140,72241,19266
1009,"Wow, FBI confirms report that James Comey drafted letter exonerating  Crooked Hillary Clinton long before investigation was complete. Many..",Wed Oct 18 10:21:00 +0000 2017,140,84573,23710
1010,The most important truth our FOUNDERS understood was: FREEDOM is NOT a gift from Govt. FREEDOM is a GIFT from GOD.… https://t.co/cBgDuOtAXF,Wed Oct 18 02:21:16 +0000 2017,139,62843,17554
1011,"Thank you @Heritage! This is our once-in-a-generation opportunity to revitalize our economy, revive our industry &amp;… https://t.co/Shs0PVz5gl",Wed Oct 18 00:44:43 +0000 2017,143,41998,9517
1012,WOW! https://t.co/eKfRktNVuy,Tue Oct 17 23:06:01 +0000 2017,28,62509,16643
1013,BORDER WALL prototypes underway! https://t.co/arFNO80zmO,Tue Oct 17 23:03:32 +0000 2017,56,102151,29962
1014,"Any increase in ObamaCare premiums is the fault of the Democrats for giving us a ""product"" that never had a chance of working.",Tue Oct 17 21:56:08 +0000 2017,126,71422,16320
1015,"So much Fake News being put in dying magazines and newspapers. Only place worse may be @NBCNews, @CBSNews, @ABC and @CNN. Fiction writers!",Tue Oct 17 21:51:34 +0000 2017,138,62740,15750
1016,It was my great honor to welcome Prime Minister Alexis Tsipras of Greece to the WH today! 🎥https://t.co/Bn1vM6fYW9… https://t.co/9PnksJZ6L4,Tue Oct 17 18:59:43 +0000 2017,139,37063,6567
1017,Join me LIVE from the Rose Garden at 1:30pmE with Prime Minister Alexis Tsipras of Greece. ➡️https://t.co/Bn1vM6fYW9 https://t.co/dZB4mDBKpi,Tue Oct 17 17:25:44 +0000 2017,140,24918,4251
1018,"""Dow Passes 23,000 for the First Time, Fueled by Strong Earnings""
#Dow23K📈https://t.co/wnkrddYlb9 https://t.co/wlP0NCNcou",Tue Oct 17 16:16:28 +0000 2017,121,45232,11159
1019,Rep.Tom Marino has informed me that he is withdrawing his name from consideration as drug czar. Tom is a fine man and a great Congressman!,Tue Oct 17 12:39:45 +0000 2017,138,49246,8407
1020,RT @Scavino45: U.S. MARKETS FROM ELECTION DAY {Since 11/8/2016} 📈 https://t.co/HtjHrznQKJ,Tue Oct 17 11:05:25 +0000 2017,89,0,7630
1021,Always great to see the wonderful people of South Carolina. Thank you for the beautiful welcome at Greenville-Spart… https://t.co/nRKBvOoskK,Mon Oct 16 23:32:05 +0000 2017,140,64675,11959
1022,"I was recently asked if Crooked Hillary Clinton is going to run in 2020? My answer was, ""I hope so!""",Mon Oct 16 13:12:43 +0000 2017,100,148228,33690
1023,"The U.S. has gained more than 5.2 trillion dollars in Stock Market Value since Election Day! Also, record business enthusiasm.",Mon Oct 16 12:57:50 +0000 2017,126,95001,19057
1024,"Since Election Day on November 8, the Stock Market is up more than 25%, unemployment is at a 17 year low &amp; companies are coming back to U.S.",Mon Oct 16 12:54:49 +0000 2017,144,91106,19619
1025,"Dem Senator Schumer hated the Iran deal made by President Obama, but now that I am involved, he is OK with it. Tell that to Israel, Chuck!",Mon Oct 16 12:49:27 +0000 2017,138,75476,20506
1026,The Democrats only want to increase taxes and obstruct. That's all they are good at!,Mon Oct 16 12:21:49 +0000 2017,84,56400,12506
1027,Art Laffer just said that he doesn't know how a Democrat could vote against the big tax cut/reform bill and live with themselves!  @FoxNews,Mon Oct 16 12:17:10 +0000 2017,139,57052,12612
1028,RT @ABCNewsRadio: Global fund championed by Ivanka Trump to help women entrepreneurs begins operations https://t.co/jUmsY3ON4x https://t.co…,Mon Oct 16 00:55:02 +0000 2017,140,0,5505
1029,RT @mike_pence: .@EdWGillespie is fighting to grow the economy &amp; cut taxes! He’s fighting for a safer VA. And he’s is fighting for affordab…,Mon Oct 16 00:49:41 +0000 2017,144,0,5787
1030,"...approvals of The Keystone XL &amp; Dakota Access pipelines. Also, look at the recent EPA cancelations &amp; our great new Supreme Court Justice!",Sun Oct 15 13:46:27 +0000 2017,147,76030,14499
1031,"The Failing @nytimes, in a story by Peter Baker, should have mentioned the rapid terminations by me of TPP &amp; The Paris Accord &amp; the fast....",Sun Oct 15 13:25:05 +0000 2017,148,59490,12488
1032,"RT @FoxNews: TONIGHT on ""Justice,"" @JudgeJeanine talks to special guests @EricTrump and @LaraLeaTrump - Tune in at 9p ET on Fox News Channe…",Sat Oct 14 23:22:04 +0000 2017,140,0,4360
